"X","Y","FID","Unique_ID","Date","Time_Start","Latitude","Longitude","Type_of_observation","Scientific_name","Common_name","Number","year","month"
364361.7818,5743143.771,10038,10043,2001-01-01,"",-38.449699,145.445602,"General observations","Limnodynastes peronii","Striped Marsh Frog","unknown","2001","01"
362754.9719,5747234.458,10039,10044,2001-01-01,"",-38.412601,145.427994,"General observations","Litoria ewingii","Southern Brown Tree Frog","unknown","2001","01"
364459.8167,5744044.318,10040,10045,2001-01-01,"",-38.441601,145.446899,"General observations","Limnodynastes dumerilii","Eastern Banjo Frog","unknown","2001","01"
363554.3323,5745438.614,10041,10046,2001-01-01,"",-38.428902,145.436798,"General observations","Crinia signifera","Eastern Common Froglet","unknown","2001","01"
364755.0674,5745736.723,10042,10047,2001-01-01,"",-38.426399,145.450607,"General observations","Litoria ewingii","Southern Brown Tree Frog","unknown","2001","01"
364755.0674,5745736.723,10043,10048,2001-01-01,"",-38.426399,145.450607,"General observations","Crinia signifera","Eastern Common Froglet","unknown","2001","01"
373956.7122,5755842.256,10044,10049,2001-01-01,"",-38.3367,145.5578,"General observations","Litoria ewingii","Southern Brown Tree Frog","unknown","2001","01"
355660.231,5783241.809,10045,10050,2001-01-01,"",-38.087101,145.354095,"Incidental","Litoria ewingii","Southern Brown Tree Frog","unknown","2001","01"
353710.8144,5813343.022,10046,10051,2001-01-01,"",-37.815601,145.337997,"Incidental","Litoria ewingii","Southern Brown Tree Frog","unknown","2001","01"
327293.265,5827573.155,10047,10052,2001-01-02,"",-37.6828,145.041397,"General observations","Litoria raniformis","Growling Grass Frog","unknown","2001","01"
322260.818,5813045.623,10048,10053,2001-01-08,"",-37.812698,144.980804,"General observations","Litoria ewingii","Southern Brown Tree Frog","unknown","2001","01"
305302.4311,5819445.55,10049,10054,2001-01-10,"",-37.751598,144.789993,"Tile (roof) census","Limnodynastes tasmaniensis","Spotted Marsh Frog","unknown","2001","01"
